Nome;CPF;Data nascimento;Nome da mãe;e-mail;Tel;CEP;Logradouro;Número;Cidade;Estado;Matrícula;ID proposta ;Fase proposta;Pendência;Situação;Protocolo Banco;Instutuição;Convênio;Serviço;Valor liberado;Valor parcela;Quantidade parcelas;Data da venda;Responsável cancelamento;Data cancelamento;Motivo cancelamento;
Rita Isabelly Andreia da Rocha;493.277.160-60;19/10/1960;Tatiane Alana;rritaisabellyandreiadarocha@oi.com.br;(61) 99312-4987;72833-399;Quadra Quadra 202;490;Luziânia;GO;342388802;671871;Proposta em processamento;Aguardando Aprovação do Banco;;269994;PAN;INSS;Refinanciamento;4.972,38;126;84;09/12/2020 15:20;;;;
João Luiz da Cruz;517.698.630-28;25/10/1967;Olivia Ayla Vitória;joaoluizdacruz..joaoluizdacruz@tlmix.com;(82) 98695-8130;57072-014;Rua Independencia;237;Maceió;AL;342831231;671985;Proposta Cancelada;;;269995;PAN;INSS;Refinanciamento;1.337,12;389,98;84;09/12/2020 16:15;Márcio João Monteiro;12/12/2020;Quantidade de parcelas excedido para o benefício; 
Luís Erick Santos;001.836.490-01;03/02/1967;Betina Andreia Olivia;luisericksantos__luisericksantos@maorifilmes.com.br;(62) 98193-6324;74495-879;Rua Cobija;590;Goiânia;GO;66883630;681844;Proposta Cancelada;;;269997;PAN;INSS;Refinanciamento;2.178,70;117,98;84;09/12/2020 16:30;"João Fábio César Pires		 ";12/12/2020;Fora da Política do Banco;
Luana Bárbara Assunção;517.089.540-23;11/08/1954;Kamilly Carolina Rosângela;lluanabarbaraassuncao;(71) 99796-4170;41810-300;Rua Teófilo Braga;348;Salvador;BA;342703843;681966;Proposta Cancelada;;;269999;PAN;INSS;Refinanciamento;3.477,64;84,75;84;09/12/2020 17:00;Lívia Analu Sebastiana Duarte;12/12/2020;Quantidade de parcelas excedido para o benefício;
Alexandre Pietro Moraes;168.170.820-56;15/03/1941;Camila Amanda Alessandra;alexandrepietromoraes__alexandrepietromoraes@mtic.net.br;(79) 99546-9882;49060-660;Rua Tenente Cleto Campelo;689;Aracaju;SE;342440521;682022;Proposta Cancelada;;;271122;PAN;INSS;Refinanciamento;2.451,24;114;84;09/12/2020 17:15;Louise Lúcia Eloá;14/12/2020;Quantidade de parcelas excedido para o benefício;
Analu Isabela da Conceição;875.358.110-51;15/07/1964;Emilly Isis;aanaluisabeladaconceicao@oana.com.br;(71) 99328-8351;42805-110;Rua Ilhéus;688;Camaçari;BA;343188588;691213;Proposta Cancelada;;;273212;BMG;SIAPE;Novo;10.000,00;285,8;84;09/12/2020 17:30;Paulo Sérgio Raul Duarte;14/12/2020;Documentação incompleta/incorreta;
Diogo Roberto Paulo da Paz;248.811.190-28;03/08/1965;Brenda Sarah;ddiogorobertopaulodapaz@mastria.com.br;(37) 98275-7505;35661-558;Rua das Sibipirunas;689;Pará de Minas;MG;343183370;693324;Proposta Cancelada;;;274415;BMG;SIAPE;Novo;4.778,83;121;84;10/12/2020 15:15;Ana Cláudia Gonçalves;15/12/2020;Quantidade de parcelas excedido para o benefício;
Bryan Carlos Ricardo Fogaça;521.365.480-00;09/07/1969;Aline Simone;bbryancarlosricardofogaca@clcimoveis.com.br;(47) 99407-3886; 88308-565;Rua Mário Ferrari;683;Itajaí;SC;954333711;693345;Proposta Aprovada;;;274516;BMG;SIAPE;Novo;5.034,62;123,52;84;10/12/2020 15:20;;;;
Yago Roberto Dias;241.401.750-36;23/01/1941;Antônia Lúcia Vitória;yagorobertodias_@keffin.com.br;(79) 98728-6270;49005-320;Rua Manoel Florêncio Canuto;737;Aracaju;SE;343225476;694433;Proposta Aprovada;;Paga;274717;BMG;SIAPE;Novo;16.184,99;365;84;10/12/2020 16:15;;;;
Giovanni Benício Kauê Freitas;860.361.010-07;11/01/1950;Isabella Simone Heloisa;giovannibeniciokauefreitas..giovannibeniciokauefreitas@agsolve.com.br;(79) 2947-1590;65630-240;Rua Higino Cunha;285;Timon;MA;343225088;696612;Proposta Aprovada;;Paga;274818;BMG;SIAPE;Novo;20.353,44;528;84;10/12/2020 16:30;;;;
Martin Augusto Fogaça;801.604.140-08;09/12/1941;Benedita Isabella Marina;martinaugustofogaca__martinaugustofogaca@artelazer.com;(96) 99918-0411;68906-970;Avenida Coriolano Jucá ;29;Macapá;AP;343224931;697788;Proposta Aprovada;;Paga;274820;BMG;SIAPE;Novo;12.912,63;334,77;84;10/12/2020 17:00;;;;
Otávio Marcelo Lucas Lopes;292.723.670-42;12/12/1944;Flávia Marina Catarina;otaviomarcelolucaslopes..otaviomarcelolucaslopes@scuderiagwr.com.br;(63) 2860-4283;77064-574;Rua Melo Viana;25;Palmas;TO;343244402;697990;Proposta Aprovada;;Paga;283322;BMG;SIAPE;Novo;13.191,51;342;84;10/12/2020 18:15;;;;
Louise Fátima Priscila Mendes;023.865.690-04;22/11/1960;Olivia Nina Rita;louisefatimapriscilamendes;(63) 98982-2502;26293-384;Granel;899;Nova Iguaçu;RJ;343187370;701122;Proposta Aprovada;;Paga;284566;BMG;SIAPE;Novo;8.560,04;316;84;10/12/2020 18:30;;;;
